name,score,event,year,last_name,first_name,full_name
Kiira KORPI,176.65,WR,2006,KORPI,Kiira,"Kiira, KORPI"
Yoshie ONDA,172.46,WR,2006,ONDA,Yoshie,"Yoshie, ONDA"
Carolina KOSTNER,172.45,WR,2006,KOSTNER,Carolina,"Carolina, KOSTNER"
Mira LEUNG,168.8,WR,2006,LEUNG,Mira,"Mira, LEUNG"
Elene GEDEVANISHVILI,164.92,WR,2006,GEDEVANISHVILI,Elene,"Elene, GEDEVANISHVILI"
Idora HEGEL,163.58,WR,2006,HEGEL,Idora,"Idora, HEGEL"
Yan LIU,159.05,WR,2006,LIU,Yan,"Yan, LIU"
Amanda NYLANDER,154.08,WR,2006,NYLANDER,Amanda,"Amanda, NYLANDER"
Tugba KARADEMIR,153.25,WR,2006,KARADEMIR,Tugba,"Tugba, KARADEMIR"
Arina MARTINOVA,149.89,WR,2006,MARTINOVA,Arina,"Arina, MARTINOVA"
Galina EFREMENKO,149.65,WR,2006,EFREMENKO,Galina,"Galina, EFREMENKO"
