name,year,event,score
MABEE Christopher,2008,FR,175.17
SMITH Scott,2008,FR,151.25
COLOT Jeremie,2008,FR,149.47
GAO Song,2008,FR,146.19
WEIR Johnny,2008,RU,229.96
LAMBIEL Stephane,2008,RU,218.84
GRIAZEV Andrei,2008,RU,206.13
BUTTLE Jeffrey,2008,RU,201.77
KOZUKA Takahiko,2008,RU,199.98
PONSERO Yannick,2008,RU,189.76
USPENSKI Alexander,2008,RU,189.17
REYNOLDS Kevin,2008,RU,186.69
LUTAI Andrei,2008,RU,185.35
BERNTSSON Kristoffer,2008,RU,182.46
XU Ming,2008,RU,159.01
URBAS Gregor,2008,RU,155.62
WEIR Johnny,2008,CN,231.78
LYSACEK Evan,2008,CN,229.36
LAMBIEL Stephane,2008,CN,192.22
DAVYDOV Sergei,2008,CN,181.75
USPENSKI Alexander,2008,CN,179.94
ZELENKA Karel,2008,CN,171.03
SAWYER Shawn,2008,CN,170.94
OTHMAN Jamal,2008,CN,170.27
WU Jialiang,2008,CN,168.95
XU Ming,2008,CN,167.51
LI Chengjiang,2008,CN,159.52
SHIBATA Ryo,2008,CN,134.19
TAKAHASHI Daisuke,2008,JP,234.22
VERNER Tomas,2008,JP,229.45
CARRIERE Stephen,2008,JP,204.98
ABBOTT Jeremy,2008,JP,187.56
DOBRIN Sergei,2008,JP,186.53
DAVYDOV Sergei,2008,JP,184.7
GRIAZEV Andrei,2008,JP,182.83
NAKANIWA Kensuke,2008,JP,180.7
SAWYER Shawn,2008,JP,180.35
NANRI Yasuharu,2008,JP,176.25
CHIPEUR Vaughn,2008,JP,173.65
LI Chengjiang,2008,JP,162.77
LAMBIEL Stephane,2008,FN,239.1
TAKAHASHI Daisuke,2008,FN,238.94
LYSACEK Evan,2008,FN,229.78
WEIR Johnny,2008,FN,216.16
CHAN Patrick,2008,FN,208.13
VAN DER PERREN Kevin,2008,FN,189.52
VERNER Tomas,2008,EU,232.67
LAMBIEL Stephane,2008,EU,225.24
JOUBERT Brian,2008,EU,219.45
VORONOV Sergei,2008,EU,210.13
VAN DER PERREN Kevin,2008,EU,199.57
SCHULTHEISS Adrian,2008,EU,184.94
BERNTSSON Kristoffer,2008,EU,182.45
LUTAI Andrei,2008,EU,180.46
DAVYDOV Sergei,2008,EU,179.9
PREAUBERT Alban,2008,EU,178.63
URBAS Gregor,2008,EU,176.57
PONSERO Yannick,2008,EU,172.43
LIEBERS Peter,2008,EU,165.14
BRUMMER Clemens,2008,EU,163.81
ZELENKA Karel,2008,EU,161.47
BREZINA Michal,2008,EU,160.37
FERNANDEZ Javier,2008,EU,154.1
KAZAKOV Alexandr,2008,EU,151.98
BACCHINI Paolo,2008,EU,151.39
SAZONETS Vitali,2008,EU,150.78
TUPIKOV Konstantin,2008,EU,149.8
PFEIFHOFER Moris,2008,EU,144.32
KOLL Manuel,2008,EU,132.02
GLUHAK Josip,2008,EU,118.37
BLOMMAERT Ruben,2008,EU,111.34
TAKAHASHI Daisuke,2008,4C,264.41
BUTTLE Jeffrey,2008,4C,234.02
LYSACEK Evan,2008,4C,233.11
CARRIERE Stephen,2008,4C,218.3
ABBOTT Jeremy,2008,4C,206.4
LI Chengjiang,2008,4C,197.98
CHIPEUR Vaughn,2008,4C,196.57
KOZUKA Takahiko,2008,4C,196.38
SAWYER Shawn,2008,4C,187.18
WU Jialiang,2008,4C,182.94
XU Ming,2008,4C,169.17
NAKANIWA Kensuke,2008,4C,167.37
RAKIMGALIEV Abzal,2008,4C,138.88
THODE Tristan,2008,4C,115.99
HERNANDEZ Luis,2008,4C,112.05
PIETERSEN Justin,2008,4C,111.16
FERNANDEZ Nicholas,2008,4C,109.77
WATSON Joel,2008,4C,109.03
ALVES Kevin,2008,4C,108.12
MCNAMARA Robert,2008,4C,102.23
CONTRERAS Humberto,2008,4C,95.5
BUTTLE Jeffrey,2008,WR,245.17
JOUBERT Brian,2008,WR,231.22
