name,score,event,year
Emily HUGHES,115.48,FR,2009
Gwendoline DIDIER,111.18,FR,2009
Carolina KOSTNER,170.72,RU,2009
Rachael FLATT,166.06,RU,2009
Fumie SUGURI,162.04,RU,2009
Alissa CZISNY,151.03,RU,2009
Alena LEONOVA,145.93,RU,2009
Elena GLEBOVA,140.67,RU,2009
Julia SEBESTYEN,131.54,RU,2009
Kimmie MEISSNER,131.36,RU,2009
Na-Young KIM,125.95,RU,2009
Nina PETUSHKOVA,125.61,RU,2009
Yu-Na KIM,191.75,CN,2009
Miki ANDO,170.88,CN,2009
Laura LEPISTO,159.42,CN,2009
Ashley WAGNER,155.59,CN,2009
Susanna POYKIO,148.03,CN,2009
Sarah MEIER,142.31,CN,2009
Alena LEONOVA,137.27,CN,2009
Katrina HACKER,134.95,CN,2009
Yan LIU,118.07,CN,2009
Binshu XU,116.59,CN,2009
Mira LEUNG,114.05,CN,2009
Yueren WANG,95.68,CN,2009
Mao ASADA,191.13,JP,2009
Akiko SUZUKI,167.64,JP,2009
Yukari NAKANO,166.87,JP,2009
Ashley WAGNER,161.1,JP,2009
Laura LEPISTO,158.85,JP,2009
Katrina HACKER,139.46,JP,2009
Cynthia PHANEUF,138.9,JP,2009
Mirai NAGASU,124.22,JP,2009
Na-Young KIM,119.77,JP,2009
Annette DYTRT,115.57,JP,2009
Anastasia GIMAZETDINOVA,115.1,JP,2009
Katarina GERBOLDT,113.95,JP,2009
Mao ASADA,188.55,FN,2009
Yu-Na KIM,186.35,FN,2009
Carolina KOSTNER,168.01,FN,2009
Joannie ROCHETTE,166.36,FN,2009
Yukari NAKANO,161.93,FN,2009
Miki ANDO,158.25,FN,2009
Laura LEPISTÖ,167.32,EU,2009
Carolina KOSTNER,165.42,EU,2009
Susanna PÖYKIÖ,156.31,EU,2009
Alena LEONOVA,143.99,EU,2009
Kiira KORPI,139.01,EU,2009
Katarina GERBOLDT,137.05,EU,2009
Annette DYTRT,136.98,EU,2009
Julia SEBESTYEN,134.47,EU,2009
Jenna MCCORKELL,131.42,EU,2009
Tugba KARADEMIR,130.85,EU,2009
